GUID,BUILDING_ID,FLOOR_ID,X_COORD,Y_COORD
GRWflr1_154,G,1,1132,2680
GRWflr1_155,G,1,1247,2529
GRWflr1_156,G,1,1199,2680
GRWflr1_158,G,1,1277,2680
GRWflr1_160,G,1,1344,2680
GRWflr1_162,G,1,1416,2680
GRWflr1_164,G,1,1489,2680
GRWflr1_166A,G,1,1634,2680
GRWflr1_166B,G,1,1677,2578
GRWflr1_166C,G,1,1677,2378
GRWflr1_168,G,1,1477,2378
GRWflr1_169,G,1,1465,2529
GRWflr1_170,G,1,1386,2378
GRWflr1_172,G,1,1308,2378
GRWflr1_174,G,1,1235,2378
GRWflr1_176,G,1,1144,2378
GRWflr1_177,G,1,1725,2759
GRWflr1_182,G,1,1005,2505
GRWflr1_184,G,1,1005,2559
GRWflr1_190,G,1,1047,2426
GRWflr1_MAINSTAIRS,G,1,1495,2130
GRWflr1_STAIRS,G,1,1066,2693
MOORflr1_100,M,1,338,2530
MOORflr1_1000,M,1,458,2570
MOORflr1_100A,M,1,386,2730
MOORflr1_100B,M,1,162,2730
MOORflr1_100C,M,1,162,2530
MOORflr1_101,M,1,274,1970
MOORflr1_101A,M,1,218,2114
MOORflr1_101B,M,1,218,2242
MOORflr1_101C,M,1,90,2114
MOORflr1_102,M,1,730,2610
MOORflr1_102B,M,1,882,2706
MOORflr1_102C,M,1,906,2538
MOORflr1_102D,M,1,562,2546
MOORflr1_102E,M,1,554,2722
MOORflr1_103A,M,1,586,2274
MOORflr1_103B,M,1,778,2154
MOORflr1_103C,M,1,746,2026
MOORflr1_104,M,1,770,2346
MOORflr1_105,M,1,906,2346
MOORflr1_106,M,1,522,2114
MOORflr1_107,M,1,522,2002
MOORflr1_108,M,1,490,2450
MOORflr1_190,M,1,474,2306
MOORflr1_190A,M,1,898,2810
MOORflr1_STAIRMAIN,M,1,282,2338
MOORflr1_STAIRSNORTH,M,1,450,2034
LEVflr1_COURTYARD,L,1,1221,1797
LEVflr1_CYBER,L,1,2146,1344
LEVflr1_CYBERSTAIRS,L,1,1970,1501
LEVflr1_ELEVATOR1,L,1,1600,1825
LEVflr1_ELEVATOR2,L,1,1665,1825
LEVflr1_L101LOW,L,1,1434,1427
LEVflr1_L102,L,1,1637,1363
LEVflr1_L103,L,1,1758,1400
LEVflr1_L104,L,1,1758,1511
LEVflr1_L107,L,1,1822,1945
LEVflr1_L107A,L,1,1832,2140
LEVflr1_L107B,L,1,1730,1816
LEVflr1_L108,L,1,1647,2066
LEVflr1_L190,L,1,1582,1705
LEVflr1_STAIRS,L,1,1489,2029
SKIR_1_113S,S,1,541,1631
SKIR_1_114S,S,1,655,1619
SKIR_1_115S,S,1,535,1535
SKIR_1_190,S,1,403,1571
SKIR_1_190_STAIR_1,S,1,481,1877
SKIR_1_190_STAIR_2,S,1,343,1673
SKIR_1_1EV1,S,1,355,1325
SKIR_1_1EV2,S,1,367,1853
SKIR_1_1ST1,S,1,493,1319
SKIR_1_1ST2,S,1,619,1817
SKIR_1_1ST2_STAIRS,S,1,529,1871
SKIR_1_COURTYARD,S,1,853,1649
SKIR_1_COURTYARD_STAIRS,S,1,943,1481
SKIR_1_TOWNE,S,1,439,1301
TOWNE_1_100,T,1,1755,590
TOWNE_1_107,T,1,2100,230
TOWNE_1_107A,T,1,1980,160
TOWNE_1_107B,T,1,1950,250
TOWNE_1_107C,T,1,2240,220
TOWNE_1_108,T,1,1830,205
TOWNE_1_108A,T,1,1920,200
TOWNE_1_108B,T,1,1920,150
TOWNE_1_108C,T,1,1920,105
TOWNE_1_109,T,1,1510,200
TOWNE_1_109A,T,1,1400,260
TOWNE_1_109B,T,1,1400,150
TOWNE_1_110,T,1,1295,230
TOWNE_1_110A,T,1,1295,135
TOWNE_1_111,T,1,870,200
TOWNE_1_112,T,1,1510,690
TOWNE_1_112A,T,1,1435,510
TOWNE_1_112B,T,1,1310,560
TOWNE_1_112C,T,1,1310,630
TOWNE_1_112D,T,1,1335,735
TOWNE_1_112E,T,1,1425,440
TOWNE_1_113,T,1,1035,245
TOWNE_1_113A,T,1,985,145
TOWNE_1_113B,T,1,1090,140
TOWNE_1_114,T,1,865,195
TOWNE_1_116,T,1,710,635
TOWNE_1_116A,T,1,420,630
TOWNE_1_116B,T,1,420,470
TOWNE_1_116C,T,1,420,745
TOWNE_1_116D,T,1,955,440
TOWNE_1_118,T,1,1970,665
TOWNE_1_119,T,1,525,245
TOWNE_1_119A,T,1,555,140
TOWNE_1_123,T,1,285,230
TOWNE_1_123A,T,1,135,260
TOWNE_1_123B,T,1,125,185
TOWNE_1_123D,T,1,430,165
TOWNE_1_125,T,1,215,505
TOWNE_1_125A,T,1,115,505
TOWNE_1_127,T,1,170,1020
TOWNE_1_127A,T,1,250,750
TOWNE_1_127B,T,1,170,750
TOWNE_1_127C,T,1,245,615
TOWNE_1_127D,T,1,170,615
TOWNE_1_141,T,1,565,1055
TOWNE_1_142,T,1,520,885
TOWNE_1_143A,T,1,650,1095
TOWNE_1_143B,T,1,550,1120
TOWNE_1_143C,T,1,655,1220
TOWNE_1_143D,T,1,705,1085
TOWNE_1_144,T,1,865,885
TOWNE_1_145,T,1,890,1090
TOWNE_1_145A,T,1,865,1220
TOWNE_1_145B,T,1,960,1220
TOWNE_1_160A,T,1,1300,885
TOWNE_1_161,T,1,1145,940
TOWNE_1_162,T,1,1145,855
TOWNE_1_163,T,1,1175,740
TOWNE_1_164A,T,1,1130,620
TOWNE_1_165A,T,1,1110,565
TOWNE_1_166,T,1,1390,910
TOWNE_1_167,T,1,1400,1195
TOWNE_1_168A,T,1,1530,1205
TOWNE_1_168B,T,1,1615,1130
TOWNE_1_170A,T,1,1795,925
TOWNE_1_176,T,1,1150,1150
TOWNE_1_177,T,1,1225,1150
TOWNE_1_185,T,1,2180,1400
TOWNE_1_186,T,1,2245,1215
TOWNE_1_187,T,1,2245,1095
TOWNE_1_188,T,1,2030,1195
TOWNE_1_189,T,1,2150,1150
TOWNE_1_190A,T,1,2090,975
TOWNE_1_191,T,1,2240,975
TOWNE_1_193,T,1,2195,735
TOWNE_1_195,T,1,2205,500
TOWNE_1_STAIRSMIDDLE,T,1,1190,450
TOWNE_1_STAIRSLEFT,T,1,2165,370
TOWNE_1_STAIRSNORTH,T,1,1170,1235
TOWNE_1_STAIRSRIGHT,T,1,225,365
TOWNE_1_STAIRSSMALL,T,1,995,685
TOWNE_1_SKIRKANICH,T,1,420,1230
TOWNE_1_169,T,1,1830,1185
TOWNE_1_178,T,1,1300,965
TOWNE_1_127E,T,1,105,555
